,State,year,quarter,January 1,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
490,State,2020,Apr-Jun,mites,and parasites 1/,Diseases 2/,Pesticides,Other 3/,Unknown,
493,Alabama,2020,Apr-Jun,28.5,18.0,1.6,7.7,7.9,9.5,
494,Arizona,2020,Apr-Jun,22.1,-,(Z),4.2,5.5,0.6,
495,Arkansas,2020,Apr-Jun,40.5,15.3,5.1,24.6,2.1,12.4,
496,California,2020,Apr-Jun,33.6,4.8,3.9,5.5,7.6,3.1,
497,Colorado,2020,Apr-Jun,35.4,(Z),(Z),-,0.5,2.5,
498,Connecticut,2020,Apr-Jun,14.8,2.1,-,-,0.1,0.6,
499,Florida,2020,Apr-Jun,33.1,16.0,3.4,5.8,5.9,7.9,
500,Georgia,2020,Apr-Jun,47.9,19.6,6.9,2.9,7.9,13.4,
501,Hawaii,2020,Apr-Jun,43.1,41.1,1.0,-,1.1,-,
502,Idaho,2020,Apr-Jun,44.2,10.9,11.1,8.6,6.9,5.8,
504,Illinois,2020,Apr-Jun,23.5,8.2,1.0,8.3,11.9,4.0,
505,Indiana,2020,Apr-Jun,26.8,12.5,1.8,20.2,5.4,1.5,
506,Iowa,2020,Apr-Jun,30.6,24.7,16.6,0.8,3.5,0.5,
507,Kansas,2020,Apr-Jun,68.4,34.1,24.0,32.8,28.9,14.3,
508,Kentucky,2020,Apr-Jun,18.3,10.9,(Z),1.2,2.9,3.2,
509,Louisiana,2020,Apr-Jun,23.7,4.7,0.5,(Z),3.5,1.3,
510,Maine,2020,Apr-Jun,47.1,(Z),26.8,-,0.5,-,
511,Maryland,2020,Apr-Jun,14.3,1.1,0.1,1.1,3.2,0.5,
512,Massachusetts,2020,Apr-Jun,14.7,2.1,(Z),(Z),1.1,(Z),
513,Michigan,2020,Apr-Jun,38.0,11.5,2.2,6.0,3.2,1.1,
515,Minnesota,2020,Apr-Jun,20.6,2.9,0.7,8.8,4.4,(Z),
516,Mississippi,2020,Apr-Jun,93.1,57.8,-,0.9,8.5,(Z),
517,Missouri,2020,Apr-Jun,17.4,1.5,5.7,3.1,11.2,1.9,
518,Montana,2020,Apr-Jun,12.1,5.6,5.9,-,4.6,(Z),
519,Nebraska,2020,Apr-Jun,17.5,1.1,4.8,12.2,(Z),2.7,
